Irms1,Irms2,Irms3,
0.235035,0.235681,0.234841,
0.233406,0.233022,0.233498,
0.235938,0.236019,0.235692,
0.233386,0.232934,0.233545,
0.231773,0.233187,0.235175,
0.235010,0.235574,0.235981,
0.233182,0.232580,0.232859,
0.232673,0.232560,0.231518,
0.231353,0.230440,0.231358,
0.235470,0.234331,0.234261,
0.233469,0.232136,0.231893,
0.236078,0.236298,0.236219,
0.233501,0.232254,0.232937,
0.234663,0.235020,0.235463,
0.230442,0.230221,0.231256,
0.236232,0.235887,0.236194,
0.232991,0.232966,0.234277,
0.236208,0.235707,0.235933,
0.235836,0.235842,0.236282,
0.232570,0.232309,0.232185,
0.235010,0.235241,0.235978,
0.234813,0.234965,0.235727,
0.233192,0.233220,0.233564,
0.234662,0.234827,0.234548,
0.232736,0.233476,0.233713,
0.233501,0.233465,0.232552,
0.233322,0.233936,0.234448,
0.232476,0.230940,0.230926,
0.236073,0.236057,0.236077,
0.235161,0.235037,0.234711,
0.232371,0.232461,0.233460,
0.236575,0.236652,0.236711,
0.233439,0.233887,0.234181,
0.234542,0.234207,0.235081,
0.234572,0.235392,0.235025,
0.234241,0.234672,0.234751,
0.232687,0.234072,0.234091,
0.235307,0.236010,0.236750,
0.235526,0.235806,0.236468,
0.237768,0.236784,0.237401,
0.235452,0.235142,0.234701,
0.231324,0.232322,0.233084,
0.232890,0.233268,0.234455,
0.231626,0.230977,0.231650,
0.232728,0.232676,0.232944,
0.236443,0.237102,0.235832,
0.236228,0.237111,0.235280,
0.234683,0.234157,0.234092,
0.231467,0.232349,0.232892,
0.232109,0.231662,0.232258,
0.232954,0.232810,0.232876,
0.230987,0.229530,0.228471,
0.234713,0.233912,0.234204,
0.232802,0.231827,0.232773,
0.232283,0.231241,0.231383,
0.234010,0.233384,0.233396,
0.235051,0.234551,0.234027,
0.232669,0.232902,0.233005,
0.232227,0.231364,0.232126,
0.235806,0.235772,0.235766,
0.234473,0.234729,0.234666,
0.236715,0.235131,0.235254,
0.235147,0.235457,0.235801,
0.229149,0.230767,0.230410,
0.232898,0.232237,0.231918,
0.231666,0.231369,0.231293,
0.235557,0.235418,0.235394,
0.233183,0.232795,0.233471,
0.233703,0.233234,0.231918,
0.234232,0.233471,0.233448,
0.232188,0.232955,0.234242,
0.236020,0.236929,0.236540,
0.234089,0.234057,0.234133,
0.233504,0.232636,0.232137,
0.234625,0.234162,0.234671,
0.232080,0.231625,0.231475,
0.235710,0.235528,0.235535,
0.235050,0.235884,0.235750,
0.236154,0.235954,0.236024,
0.233955,0.233986,0.234019,
0.233143,0.232281,0.231880,
0.233569,0.232650,0.232671,
0.237886,0.238024,0.237708,
0.235629,0.235831,0.237971,
0.234832,0.234377,0.235454,
0.234503,0.234091,0.234527,
0.235806,0.234053,0.233194,
0.233369,0.232755,0.232955,
0.231609,0.231729,0.231798,
0.232493,0.232616,0.233080,
0.232699,0.233714,0.234497,
0.232090,0.231917,0.231145,
0.234549,0.233840,0.234916,
0.235362,0.235204,0.234844,
0.229655,0.228460,0.228022,
0.232584,0.232544,0.232085,
0.233560,0.233310,0.233572,
0.235565,0.236165,0.236782,
0.234878,0.234282,0.234482,
0.232426,0.232341,0.232198,
