Irms1,Irms2,Irms3,
0.231370,0.231277,0.231310,
0.225290,0.225014,0.226160,
0.226651,0.226464,0.226953,
0.225491,0.224926,0.225084,
0.231910,0.231438,0.232640,
0.223442,0.223954,0.223258,
0.225617,0.225124,0.225052,
0.227891,0.229146,0.228829,
0.228924,0.228522,0.227780,
0.226143,0.225632,0.227084,
0.225173,0.225027,0.224971,
0.233173,0.232403,0.231698,
0.222875,0.223372,0.223974,
0.225471,0.225208,0.224188,
0.228633,0.229556,0.229314,
0.228649,0.228136,0.227070,
0.225735,0.226807,0.226069,
0.224642,0.225936,0.225005,
0.233159,0.232652,0.232980,
0.224291,0.224063,0.223986,
0.225033,0.223842,0.224677,
0.228450,0.228627,0.229203,
0.229057,0.228213,0.229546,
0.225813,0.227025,0.225934,
0.224793,0.224475,0.224837,
0.232354,0.231603,0.232866,
0.224485,0.224682,0.223750,
0.226180,0.226522,0.226701,
0.227448,0.226254,0.228662,
0.229118,0.229794,0.229412,
0.226061,0.225313,0.225348,
0.224223,0.224358,0.224583,
0.231591,0.232318,0.232193,
0.224820,0.224106,0.224997,
0.226492,0.225841,0.226429,
0.226861,0.226575,0.226784,
0.230410,0.228697,0.230855,
0.224539,0.225280,0.226147,
0.224453,0.224682,0.225022,
0.232432,0.232467,0.232190,
0.224711,0.223886,0.222540,
0.225286,0.225239,0.224850,
0.228632,0.229904,0.229223,
0.227941,0.227035,0.227061,
0.226431,0.226399,0.226447,
0.225171,0.226307,0.225270,
0.232428,0.230915,0.230607,
0.224838,0.223861,0.225101,
0.222451,0.223556,0.224197,
0.232208,0.231933,0.232888,
0.226245,0.225691,0.225567,
0.226047,0.226469,0.226638,
0.227658,0.226996,0.227866,
0.229493,0.228822,0.229707,
0.225298,0.224873,0.224999,
0.225030,0.223691,0.223477,
0.232251,0.231985,0.232791,
0.224156,0.224978,0.224662,
0.225658,0.225878,0.225259,
0.229031,0.230091,0.229532,
0.227741,0.227469,0.227309,
0.226238,0.225415,0.225111,
0.223715,0.223175,0.223189,
0.232062,0.233102,0.232685,
0.224808,0.223572,0.224411,
0.226937,0.227049,0.226684,
0.226400,0.227895,0.227712,
0.230107,0.229091,0.228973,
0.225350,0.224013,0.225003,
0.222831,0.224282,0.223136,
0.231547,0.231263,0.232224,
0.225757,0.226124,0.226418,
0.227430,0.225790,0.227626,
0.225600,0.226133,0.226993,
0.231036,0.230722,0.231039,
0.223375,0.224992,0.225406,
0.223500,0.223127,0.223093,
0.232505,0.232017,0.231336,
0.224919,0.224344,0.226115,
0.225765,0.227277,0.225691,
0.227043,0.228568,0.228340,
0.228479,0.227801,0.228123,
0.225756,0.225608,0.225079,
0.223907,0.223584,0.224294,
0.232796,0.232474,0.233332,
0.224636,0.223651,0.223542,
0.226325,0.224882,0.225361,
0.227750,0.228380,0.228963,
0.228002,0.228180,0.227906,
0.224614,0.226381,0.224257,
0.224429,0.224031,0.224452,
0.231578,0.234114,0.233601,
0.223767,0.225053,0.223516,
0.225621,0.226140,0.225850,
0.228992,0.228454,0.230507,
0.228235,0.226992,0.228029,
0.225615,0.226746,0.225141,
0.226051,0.224268,0.224743,
0.232862,0.231978,0.231136,
0.225229,0.225008,0.224722,
0.225593,0.224833,0.223897,
0.230136,0.231669,0.230459,
0.226188,0.224917,0.225812,
0.226547,0.225843,0.226467,
0.226192,0.225312,0.226366,
0.232458,0.231770,0.231977,
0.224962,0.225306,0.225744,
0.226000,0.225122,0.225991,
0.229630,0.229453,0.230858,
0.228045,0.227432,0.226616,
0.226027,0.225292,0.226339,
0.224958,0.225347,0.224666,
0.233515,0.231969,0.231591,
0.224736,0.224784,0.224213,
0.225863,0.226201,0.224870,
0.228884,0.230488,0.231815,
0.225855,0.225441,0.224587,
0.226394,0.225816,0.226697,
0.225779,0.225814,0.226326,
0.231530,0.231167,0.230281,
0.225469,0.225303,0.225433,
0.224292,0.223869,0.224742,
0.232069,0.231251,0.232134,
0.225094,0.223396,0.222604,
0.226259,0.226163,0.225660,
0.229780,0.229445,0.229495,
0.228619,0.228309,0.227675,
0.226002,0.225731,0.225871,
0.225703,0.225803,0.224509,
0.230937,0.230845,0.230311,
0.224444,0.224783,0.224400,
0.223710,0.225160,0.224525,
0.232535,0.233480,0.233299,
0.223933,0.224601,0.225301,
0.225706,0.225849,0.225961,
0.228297,0.229059,0.228419,
0.228397,0.228336,0.229011,
0.225653,0.225251,0.225808,
0.224899,0.224627,0.224847,
0.233181,0.234202,0.233182,
0.225073,0.224097,0.223753,
0.225971,0.226430,0.226811,
0.228042,0.227960,0.228035,
0.227187,0.227222,0.226521,
0.226143,0.226080,0.226133,
0.224884,0.225311,0.225184,
0.233850,0.232768,0.232304,
0.224705,0.225545,0.225312,
0.224625,0.224387,0.224329,
0.231773,0.230693,0.230886,
0.225010,0.225660,0.224936,
0.225462,0.226083,0.225615,
0.225860,0.226763,0.226084,
0.231799,0.231204,0.232561,
0.224573,0.225965,0.224913,
0.224790,0.223813,0.224190,
0.232417,0.232309,0.233195,
0.223581,0.224234,0.222866,
0.225334,0.225763,0.225015,
0.228879,0.229638,0.229390,
0.229517,0.227519,0.228879,
0.226383,0.227059,0.227391,
0.224421,0.225416,0.225204,
0.231947,0.231032,0.230735,
0.223735,0.224219,0.224785,
0.224098,0.224231,0.225002,
0.233541,0.232787,0.233849,
0.224299,0.224827,0.223788,
0.224415,0.225244,0.225137,
0.230619,0.230488,0.230156,
0.226756,0.225331,0.225252,
0.226236,0.226005,0.226248,
0.226496,0.227325,0.227841,
0.230961,0.230692,0.229233,
0.225252,0.225920,0.225160,
0.224400,0.223997,0.223508,
0.231600,0.232932,0.232005,
0.222370,0.223912,0.224561,
0.225832,0.225938,0.225655,
0.231366,0.231764,0.231991,
0.225617,0.226095,0.226370,
0.226526,0.225809,0.226897,
0.226004,0.226497,0.227001,
0.230350,0.231021,0.230112,
0.224578,0.223703,0.224847,
0.223524,0.224367,0.223793,
0.231934,0.231703,0.233293,
0.225962,0.225480,0.226668,
