Irms1,Irms2,Irms3,
0.230365,0.231057,0.231202,
0.236443,0.237055,0.237009,
0.233033,0.232917,0.233403,
0.233749,0.233426,0.230975,
0.230953,0.231186,0.230592,
0.233669,0.231660,0.231832,
0.232080,0.231675,0.232123,
0.235046,0.233890,0.234188,
0.231354,0.231819,0.232047,
0.231564,0.231523,0.231995,
0.231621,0.231738,0.232619,
0.231882,0.231058,0.231975,
0.230762,0.231056,0.232329,
0.232261,0.231697,0.231280,
0.234815,0.233119,0.234024,
0.229899,0.229724,0.231529,
0.230675,0.231240,0.231938,
0.232176,0.231865,0.231379,
0.230997,0.231346,0.230291,
0.230990,0.230319,0.231014,
0.226552,0.227541,0.228246,
0.230919,0.231738,0.231247,
0.231800,0.231333,0.231915,
0.230224,0.229035,0.230297,
0.231797,0.232136,0.233856,
0.227577,0.227312,0.228258,
0.231779,0.232189,0.233383,
0.228952,0.229980,0.230920,
0.232131,0.231225,0.232280,
0.229792,0.230406,0.233504,
0.231089,0.231591,0.232164,
0.231074,0.231617,0.232351,
0.230030,0.229963,0.230028,
0.232122,0.232176,0.233319,
0.232028,0.233095,0.231306,
0.231108,0.231372,0.231425,
0.231090,0.231522,0.231999,
0.230701,0.231733,0.231989,
0.233322,0.232523,0.232906,
0.231885,0.230868,0.229827,
0.231712,0.230974,0.232218,
0.231511,0.231340,0.231240,
0.231724,0.230883,0.231034,
0.231953,0.231132,0.230406,
0.229886,0.230094,0.229494,
0.231929,0.231710,0.232497,
0.229941,0.231750,0.231340,
0.229722,0.230298,0.232899,
0.230772,0.231275,0.230900,
0.231775,0.231090,0.230401,
0.235572,0.233953,0.234752,
0.232605,0.231284,0.231662,
0.231749,0.230234,0.230983,
0.232962,0.231770,0.231328,
0.230904,0.230887,0.231037,
0.232274,0.230532,0.231177,
0.236155,0.236138,0.236577,
0.230007,0.229792,0.231984,
0.229894,0.230462,0.231444,
0.228853,0.229849,0.234617,
0.230141,0.230878,0.230036,
0.231489,0.231077,0.229455,
0.234835,0.235879,0.235194,
0.230620,0.233275,0.232358,
0.233916,0.231612,0.231470,
0.230299,0.230942,0.231782,
